"Tree Level 1","Country-Code","Country","Direction","Partner-Code","Partner","Unit","Footnotes","Sources",_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
"FDI by partner","KZ","Kazakhstan","FDI inflow","BS","Bahamas","EUR m","-","National Bank of Kazakhstan",0.4005579,-1.2128034,16.0392635,1.5606894,10.2247976,-0.0822204,-21.184121,-6.7082016,17.5856363,-28.0720794,-36.5830155,-78.0278001,-55.9944926,-10.2947118,4.8954876,-7.5602924,5.2806656,-6.0754734,-0.0541119
"FDI by partner","KZ","Kazakhstan","FDI inflow","BS","Bahamas","in % of total","-","National Bank of Kazakhstan, wiiw",0.0216058,-0.0362503,1.0129209,0.0312034,0.1258742,-0.0008449,-0.2230697,-0.0771208,0.1760843,-0.2573364,-0.4708556,-1.2212883,-1.5301681,-0.1337982,0.1173293,-0.2288238,0.1800145,-0.1883157,-0.0018979
"FDI by partner","KZ","Kazakhstan","FDI inflow","BH","Bahrain","EUR m","-","National Bank of Kazakhstan",.,.,.,0.1386217,0.2710346,5.965396,-1.5124344,6.0643407,-0.4475247,-1.0759252,-13.8150812,-0.4869212,-1.4785007,0.8187332,0.9452867,0.4365456,2.8681017,0.4344629,0.2764781
"FDI by partner","KZ","Kazakhstan","FDI inflow","BH","Bahrain","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,0.0027715,0.0033366,0.0612983,-0.015926,0.0697186,-0.004481,-0.009863,-0.1778122,-0.0076213,-0.0404032,0.0106409,0.0226555,0.0132127,0.0977717,0.0134666,0.0096972
"FDI by partner","KZ","Kazakhstan","FDI inflow","BB","Barbados","EUR m","-","National Bank of Kazakhstan",0.5388035,2.2847702,16.4714327,16.1223437,14.4619958,8.1228321,44.3410759,-9.2362025,79.1091439,-18.0799003,1.2819902,-96.9048382,-4.2469684,.,.,.,.,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","BB","Barbados","in % of total","-","National Bank of Kazakhstan, wiiw",0.0290627,0.068291,1.0402135,0.3223393,0.178037,0.0834674,0.4669133,-0.1061839,0.7921167,-0.1657382,0.0165003,-1.516751,-0.1160574,.,.,.,.,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","BY","Belarus","EUR m","-","National Bank of Kazakhstan",-0.3145974,0.0426533,-0.0184756,-0.1202982,1.2024876,-0.5619527,3.2027178,-0.6943154,5.3796344,-0.8728764,11.4784415,2.6686591,-7.8191849,5.9516302,0.5248642,-2.2878382,29.252672,-16.0322074,-14.8858541
"FDI by partner","KZ","Kazakhstan","FDI inflow","BY","Belarus","in % of total","-","National Bank of Kazakhstan, wiiw",-0.0169692,0.0012749,-0.0011668,-0.0024052,0.0148034,-0.0057744,0.0337247,-0.0079822,0.0538661,-0.0080016,0.1477376,0.0417698,-0.2136758,0.0773521,0.0125793,-0.0692449,0.9972045,-0.4969351,-0.5221076
"FDI by partner","KZ","Kazakhstan","FDI inflow","BE","Belgium","EUR m","-","National Bank of Kazakhstan",-0.1107737,5.7042802,-4.9466512,0.7966766,3.6527571,30.8197402,-9.6253646,126.7788345,15.2194304,108.5517528,121.061123,2.5429778,6.9721366,22.3579235,92.582336,49.9153914,38.0222212,168.7949768,117.9318815
"FDI by partner","KZ","Kazakhstan","FDI inflow","BE","Belgium","in % of total","-","National Bank of Kazakhstan, wiiw",-0.0059751,0.170499,-0.3123938,0.0159282,0.0449679,0.316693,-0.1013555,1.4575114,0.1523915,0.9950927,1.558163,0.0398026,0.1905284,0.2905812,2.2189055,1.5107657,1.2961528,5.2319772,4.1363516
"FDI by partner","KZ","Kazakhstan","FDI inflow","BZ","Belize","EUR m","-","National Bank of Kazakhstan",4.6276839,6.01573,20.5850736,-3.3293114,10.2116477,-20.7487602,.,18.0288565,-5.0441705,2.1969724,0.5239373,-0.009031,-3.5262106,-1.6799394,-3.1217474,-1.5486774,-0.9914646,2.9641583,-0.9976887
"FDI by partner","KZ","Kazakhstan","FDI inflow","BZ","Belize","in % of total","-","National Bank of Kazakhstan, wiiw",0.2496141,0.1798082,1.3000005,-0.066564,0.1257123,-0.2132071,.,0.2072685,-0.0505071,0.0201396,0.0067435,-0.0001414,-0.0963612,-0.0218338,-0.0748184,-0.0468731,-0.0337984,0.0918772,-0.034993
"FDI by partner","KZ","Kazakhstan","FDI inflow","BM","Bermuda","EUR m","-","National Bank of Kazakhstan",0.1240666,60.2401924,45.0002273,76.7000363,14.2786274,1.6022786,104.905861,63.4379892,36.5943004,81.1238283,40.1256143,24.6862259,-60.2342445,-560.759963,390.3237511,1.8589215,4.1561125,-28.1437373,13.8873199
"FDI by partner","KZ","Kazakhstan","FDI inflow","BM","Bermuda","in % of total","-","National Bank of Kazakhstan, wiiw",0.0066921,1.8005594,2.8418805,1.533489,0.1757796,0.0164645,1.104663,0.7293141,0.3664173,0.7436612,0.5164519,0.3863879,-1.6460283,-7.2880778,9.3548247,0.0562631,0.1416792,-0.8723446,0.4870849
"FDI by partner","KZ","Kazakhstan","FDI inflow","BG","Bulgaria","EUR m","-","National Bank of Kazakhstan",0.6548944,0.0482868,0.4442186,-0.054174,0.2432736,.,-0.0100399,0.2485077,0.4654831,2.8162323,1.0260438,0.6043241,0.7288765,-0.3189987,1.3612837,0.3907719,-0.3644302,-0.4554853,1.5717825
"FDI by partner","KZ","Kazakhstan","FDI inflow","BG","Bulgaria","in % of total","-","National Bank of Kazakhstan, wiiw",0.0353246,0.0014433,0.0280536,-0.0010831,0.0029949,.,-0.0001057,0.002857,0.0046609,0.0258164,0.0132061,0.0094589,0.0199181,-0.004146,0.0326257,0.0118273,-0.0124232,-0.0141182,0.0551288
"FDI by partner","KZ","Kazakhstan","FDI inflow","CA","Canada","EUR m","-","National Bank of Kazakhstan",-282.7645999,180.3375019,-154.9768628,106.3786284,-201.2055487,1039.8407467,382.5282842,57.5852566,4.7834137,357.3977754,-226.7549253,-14.7536361,61.095726,47.5768948,-18.1613651,163.3808084,108.8119011,-0.7042504,123.6077158
"FDI by partner","KZ","Kazakhstan","FDI inflow","CA","Canada","in % of total","-","National Bank of Kazakhstan, wiiw",-15.2521308,5.3902282,-9.7871887,2.1268628,-2.4769771,10.685043,4.0280385,0.6620282,0.0478961,3.2762613,-2.9185351,-0.2309234,1.6695701,0.6183468,-0.4352704,4.9449701,3.7093269,-0.021829,4.3354262
"FDI by partner","KZ","Kazakhstan","FDI inflow","KY","Cayman Islands","EUR m","-","National Bank of Kazakhstan",-24.051195,-10.8242901,33.1075396,-29.0149605,-5.4082721,404.9748921,-149.9683732,2.3216643,7.8966913,5.8588524,0.8717232,-0.0195672,-92.946185,-22.5440813,-94.7649924,-6.6193882,-22.2713321,26.3261757,-10.7615104
"FDI by partner","KZ","Kazakhstan","FDI inflow","KY","Cayman Islands","in % of total","-","National Bank of Kazakhstan, wiiw",-1.2973052,-0.3235344,2.0908265,-0.5801056,-0.0665795,4.1613816,-1.5791731,0.026691,0.0790693,0.053708,0.0112198,-0.0003063,-2.5399514,-0.2930006,-2.2712169,-0.2003459,-0.7592152,0.8160074,-0.37745
"FDI by partner","KZ","Kazakhstan","FDI inflow","CN","China","EUR m","-","National Bank of Kazakhstan",90.471131,269.1755492,72.5755183,177.8891136,172.791482,278.970427,201.5689907,415.6539648,433.1622151,858.1098797,522.4444862,433.75344,-228.2934967,-568.0960296,-267.8985013,-393.9158988,-150.5820372,-717.2098151,418.5710085
"FDI by partner","KZ","Kazakhstan","FDI inflow","CN","China","in % of total","-","National Bank of Kazakhstan, wiiw",4.8799515,8.0455681,4.5833312,3.5565954,2.1271806,2.8666034,2.1225297,4.7785609,4.3372359,7.8662835,6.7243196,6.7890929,-6.2386034,-7.3834231,-6.420679,-11.9224673,-5.1332436,-22.2306699,14.6809907
"FDI by partner","KZ","Kazakhstan","FDI inflow","HR","Croatia","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,0.6357293,1.5831582,1.6749431,0.8767591,0.0171394,0.0036147,0.0035404,0.0016953,.,0.026278,0.0515754
"FDI by partner","KZ","Kazakhstan","FDI inflow","HR","Croatia","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,0.0063655,0.0145128,0.021558,0.013723,0.0004684,4.7E-5,8.49E-5,5.13E-5,.,0.0008145,0.001809
"FDI by partner","KZ","Kazakhstan","FDI inflow","CY","Cyprus","EUR m","-","National Bank of Kazakhstan",17.4535109,1.3600781,28.1857904,51.6987324,43.634375,53.5016991,133.6428311,198.0990359,91.8151091,266.6466336,264.6530535,98.8367186,25.7244687,40.317641,62.7925282,-3.7381869,90.6680988,362.7117209,326.4319172
"FDI by partner","KZ","Kazakhstan","FDI inflow","CY","Cyprus","in % of total","-","National Bank of Kazakhstan, wiiw",0.9414305,0.0406523,1.7800054,1.0336297,0.5371688,0.5497649,1.4072645,2.2774432,0.919341,2.4443466,3.4063173,1.5469887,0.7029756,0.5239998,1.5049381,-0.1131419,3.0908165,11.2426299,11.4492973
"FDI by partner","KZ","Kazakhstan","FDI inflow","CZ","Czechia","EUR m","-","National Bank of Kazakhstan",-0.2091408,-2.0352885,0.5486461,5.1059001,0.5997827,31.760858,-1.0183294,11.4584637,27.1280403,49.6224804,10.5592929,-0.380807,-10.1077488,3.7719564,4.331679,3.9441687,9.7002754,8.4475008,16.4652461
"FDI by partner","KZ","Kazakhstan","FDI inflow","CZ","Czechia","in % of total","-","National Bank of Kazakhstan, wiiw",-0.0112809,-0.0608341,0.0346484,0.1020839,0.0073837,0.3263636,-0.0107231,0.1317321,0.271632,0.4548887,0.1359074,-0.0059604,-0.2762156,0.0490233,0.1038166,0.1193763,0.3306761,0.2618391,0.5775033
"FDI by partner","KZ","Kazakhstan","FDI inflow","DK","Denmark","EUR m","-","National Bank of Kazakhstan",-0.2968736,0.1408365,0.114067,-0.0135435,1.8512173,-0.1624023,1.1997642,0.182992,-1.0861273,-0.0303406,2.8741271,2.3390278,-4.6610208,-2.5818111,-12.0355886,-2.0835518,0.7726278,10.9815759,21.0867433
"FDI by partner","KZ","Kazakhstan","FDI inflow","DK","Denmark","in % of total","-","National Bank of Kazakhstan, wiiw",-0.0160132,0.0042096,0.0072036,-0.0002708,0.0227897,-0.0016688,0.0126336,0.0021038,-0.0108753,-0.0002781,0.0369925,0.0366104,-0.1273723,-0.0335552,-0.288455,-0.0630619,0.0263384,0.3403855,0.739598
"FDI by partner","KZ","Kazakhstan","FDI inflow","EE","Estonia","EUR m","-","National Bank of Kazakhstan",0.4608188,-0.7283258,-0.3751358,-0.0039834,3.9793136,0.4804118,1.1058197,-0.2778768,-0.3771275,21.8079073,-1.4295357,1.2906798,2.3652403,1.3473855,2.4995222,0.1339305,-8.0469411,4.5364586,-4.7305665
"FDI by partner","KZ","Kazakhstan","FDI inflow","EE","Estonia","in % of total","-","National Bank of Kazakhstan, wiiw",0.0248563,-0.0217694,-0.0236908,-7.96E-5,0.0489881,0.0049365,0.0116443,-0.0031946,-0.0037762,0.1999128,-0.0183994,0.0202017,0.0646352,0.0175117,0.0599056,0.0040536,-0.274315,0.1406123,-0.1659202
