"Tree Level 1","Country-Code","Country","Direction","Partner-Code","Partner","Unit","Footnotes","Sources",_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
"FDI by partner","KZ","Kazakhstan","FDI inflow","IE","Ireland","in % of total","-","National Bank of Kazakhstan, wiiw",-0.3856543,-0.0001203,-0.0220167,-0.0003823,0.0003957,-0.0024857,-0.0062526,0.0046317,7.2E-6,-0.0004422,1.0292995,-0.0234999,0.2012516,-0.0070352,0.0622391,-0.0184978,0.3581715,0.1307567,-0.1910084
"FDI by partner","KZ","Kazakhstan","FDI inflow","IL","Israel","EUR m","-","National Bank of Kazakhstan",-0.9801261,9.2107063,-0.5478428,1.5901664,0.1044689,20.0400339,-31.5502844,88.1720351,1.0947473,24.3627435,-0.3681111,-16.3897514,0.3662424,0.1924836,-4.3423002,-6.8431708,8.71417,1.9279292,29.4461912
"FDI by partner","KZ","Kazakhstan","FDI inflow","IL","Israel","in % of total","-","National Bank of Kazakhstan, wiiw",-0.0528673,0.275305,-0.0345977,0.0317927,0.0012861,0.2059244,-0.3322258,1.0136688,0.0109617,0.223333,-0.0047379,-0.2565318,0.0100083,0.0025017,-0.1040712,-0.207119,0.2970604,0.0597582,1.0327979
"FDI by partner","KZ","Kazakhstan","FDI inflow","IT","Italy","EUR m","-","National Bank of Kazakhstan",229.4531855,28.3419349,-273.7213933,-338.8464602,-324.9083589,-134.6817753,-97.7696665,-14.8170828,47.4131913,-281.1704572,15.741454,25.5501911,132.0610529,281.9903376,44.6842691,134.1051253,99.6680964,71.4954287,89.2593219
"FDI by partner","KZ","Kazakhstan","FDI inflow","IT","Italy","in % of total","-","National Bank of Kazakhstan, wiiw",12.3765493,0.8471311,-17.2862122,-6.7746685,-3.9998428,-1.3839432,-1.0295186,-0.1703444,0.4747464,-2.5774864,0.2026063,0.3999107,3.608848,3.6649684,1.0709405,4.0588968,3.3976205,2.2160757,3.1306881
"FDI by partner","KZ","Kazakhstan","FDI inflow","JP","Japan","EUR m","-","National Bank of Kazakhstan",66.5404578,109.2569238,210.2133967,268.1007845,288.6759308,304.9942036,419.6614523,453.9399635,433.990459,294.3538475,239.2993081,164.0359898,351.9625472,411.0962529,122.1535241,6.2599797,34.4100744,49.0829231,-173.0499567
"FDI by partner","KZ","Kazakhstan","FDI inflow","JP","Japan","in % of total","-","National Bank of Kazakhstan, wiiw",3.5891472,3.2656533,13.2755183,5.360227,3.553797,3.1340147,4.4190523,5.2187154,4.3455291,2.6983384,3.0799923,2.5674853,9.6181222,5.3429304,2.9276333,0.1894679,1.173017,1.5213766,-6.069567
"FDI by partner","KZ","Kazakhstan","FDI inflow","JE","Jersey","EUR m","-","National Bank of Kazakhstan",0.2171165,0.3050116,0.1470018,0.5481135,1.1520796,17.4157761,0.6977708,-8.2685286,-0.4683565,-6.5566868,-1.199184,-2.5986689,-4.7764864,15.3751954,0.221275,-13.016689,0.3956926,2.2126075,0.7736315
"FDI by partner","KZ","Kazakhstan","FDI inflow","JE","Jersey","in % of total","-","National Bank of Kazakhstan, wiiw",0.0117111,0.0091167,0.0092835,0.0109586,0.0141829,0.1789585,0.0073476,-0.095059,-0.0046896,-0.0601051,-0.0154346,-0.0406743,-0.1305276,0.1998281,0.0053033,-0.39397,0.0134889,0.0685821,0.0271344
"FDI by partner","KZ","Kazakhstan","FDI inflow","KR","Korea Republic","EUR m","-","National Bank of Kazakhstan",14.8702672,2.1012804,6.8592813,160.2307775,89.9279571,541.4376565,62.1102076,140.5130263,119.3727156,96.8363819,15.1271827,121.0258743,-43.4033318,15.272176,-33.8178975,72.1826097,-122.1207504,21.421825,181.061059
"FDI by partner","KZ","Kazakhstan","FDI inflow","KR","Korea Republic","in % of total","-","National Bank of Kazakhstan, wiiw",0.8020921,0.0628066,0.4331813,3.2035465,1.1070743,5.5636256,0.654023,1.6154064,1.1952742,0.887698,0.1947001,1.8942925,-1.186088,0.1984892,-0.810508,2.1847171,-4.1630169,0.6639919,6.350549
"FDI by partner","KZ","Kazakhstan","FDI inflow","KW","Kuwait","EUR m","-","National Bank of Kazakhstan",.,.,.,.,0.2922206,3.7209828,1.5776935,0.4149325,0.6141791,1.5279227,4.7417827,23.5114439,1.9123987,-7.3929983,-0.1849859,4.5951727,5.1100622,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","KW","Kuwait","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,0.0035974,0.0382355,0.0166132,0.0047703,0.0061498,0.0140064,0.0610309,0.3680003,0.0522603,-0.0960852,-0.0044335,0.1390799,0.1741987,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","KG","Kyrgyzstan","EUR m","-","National Bank of Kazakhstan",0.1506523,0.4675771,-0.9069128,0.4341887,0.9694417,1.5744188,1.4321154,-19.9273046,-0.596939,-6.993125,-47.4449274,-19.2932165,-28.3855895,-4.3810361,0.4177672,1.2952267,1.5604402,-2.4289631,-0.9148298
"FDI by partner","KZ","Kazakhstan","FDI inflow","KG","Kyrgyzstan","in % of total","-","National Bank of Kazakhstan, wiiw",0.0081261,0.0139757,-0.0572739,0.0086809,0.0119345,0.0161782,0.0150802,-0.229094,-0.0059771,-0.0641059,-0.6106579,-0.3019767,-0.7756964,-0.0569394,0.0100126,0.039202,0.0531944,-0.0752883,-0.0320868
"FDI by partner","KZ","Kazakhstan","FDI inflow","LV","Latvia","EUR m","-","National Bank of Kazakhstan",-0.102798,0.135203,0.0184756,-0.5234165,8.2859142,3.3003677,-5.2996159,-0.0353935,-0.1436676,0.5842515,1.0825025,-1.6466515,2.4545457,2.2474498,5.2256299,6.8931828,3.5174663,10.5935375,19.2114266
"FDI by partner","KZ","Kazakhstan","FDI inflow","LV","Latvia","in % of total","-","National Bank of Kazakhstan, wiiw",-0.0055449,0.0040412,0.0011668,-0.0104648,0.1020052,0.0339134,-0.0558052,-0.0004069,-0.0014385,0.0053558,0.0139328,-0.0257733,0.0670757,0.0292096,0.1252418,0.2086327,0.1199081,0.3283578,0.673823
"FDI by partner","KZ","Kazakhstan","FDI inflow","LB","Lebanon","EUR m","-","National Bank of Kazakhstan",1.7413632,3.3430558,3.8357031,28.4381667,-33.9662575,-1.6980891,-0.8964168,-1.5437599,-1.397886,.,.,-12.9865714,5.7922227,-87.083032,1.4046536,-6.3447459,48.9854974,70.939211,83.245288
"FDI by partner","KZ","Kazakhstan","FDI inflow","LB","Lebanon","in % of total","-","National Bank of Kazakhstan, wiiw",0.093928,0.0999228,0.2422345,0.5685736,-0.4181477,-0.017449,-0.0094393,-0.0177478,-0.013997,.,.,-0.2032653,0.1582848,-1.1317996,0.0336651,-0.1920334,1.6698837,2.1988352,2.9197514
"FDI by partner","KZ","Kazakhstan","FDI inflow","LR","Liberia","EUR m","-","National Bank of Kazakhstan",65.9325315,103.0818474,269.7925088,269.9506675,294.8666235,330.7658829,446.4965845,478.852483,473.4243501,319.6734876,224.4175328,.,.,.,.,.,.,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","LR","Liberia","in % of total","-","National Bank of Kazakhstan, wiiw",3.5563561,3.0810823,17.038093,5.3972123,3.6300086,3.3988355,4.7016273,5.5051219,4.7403791,2.9304432,2.8884508,.,.,.,.,.,.,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","LI","Liechtenstein","EUR m","-","National Bank of Kazakhstan",-8.0111571,-2.951128,8.0537715,-18.5641573,31.6613678,2.7859806,7.3714143,1.460171,-5.3544926,-3.440938,10.1076229,66.1377421,-5.4764965,12.4319127,-24.6562283,-33.6513114,-20.3580733,-4.0538194,4.753395
"FDI by partner","KZ","Kazakhstan","FDI inflow","LI","Liechtenstein","in % of total","-","National Bank of Kazakhstan, wiiw",-0.4321164,-0.0882082,0.5086164,-0.3711593,0.389773,0.0286278,0.0776213,0.0167868,-0.0536143,-0.031543,0.130094,1.0351855,-0.1496569,0.1615749,-0.5909317,-1.0185084,-0.6939935,-0.1256524,0.1667209
"FDI by partner","KZ","Kazakhstan","FDI inflow","LT","Lithuania","EUR m","-","National Bank of Kazakhstan",0.1329285,0.9448116,1.0916692,-0.5879473,-0.7685401,0.361498,-0.209403,0.0037653,-0.093384,-0.4644449,0.6556744,-0.2784557,-0.7460159,2.1751555,5.3256462,0.8290129,-2.6849933,3.3040204,6.7775194
"FDI by partner","KZ","Kazakhstan","FDI inflow","LT","Lithuania","in % of total","-","National Bank of Kazakhstan, wiiw",0.0071701,0.0282401,0.0689417,-0.011755,-0.0094613,0.0037146,-0.002205,4.33E-5,-0.0009351,-0.0042576,0.0084391,-0.0043584,-0.0203865,0.02827,0.1276389,0.0250913,-0.0915297,0.1024116,0.2377152
"FDI by partner","KZ","Kazakhstan","FDI inflow","LU","Luxembourg","EUR m","-","National Bank of Kazakhstan",1.4436034,2.1962444,10.1358955,2.1342965,45.6338942,-23.1351904,2.7301269,2.878924,7.2997523,4.3091466,10.319155,5.7519915,154.6030015,78.2567987,154.7853877,-986.1582963,22.1837973,123.5687881,128.0508127
"FDI by partner","KZ","Kazakhstan","FDI inflow","LU","Luxembourg","in % of total","-","National Bank of Kazakhstan, wiiw",0.077867,0.065645,0.640108,0.0426717,0.5617843,-0.2377292,0.0287483,0.0330975,0.0730921,0.0395019,0.1328166,0.09003,4.2248545,1.0170869,3.7097158,-29.8475896,0.7562312,3.8301441,4.4912637
"FDI by partner","KZ","Kazakhstan","FDI inflow","MY","Malaysia","EUR m","-","National Bank of Kazakhstan",.,-0.6542861,0.2594622,-1.2125417,0.1307687,0.1950186,-0.0501993,.,0.2427983,0.5788058,0.4140309,-0.1256814,-2.2759349,-100.3381963,-440.5637924,2.488734,10.2415615,2.850287,2.78761
"FDI by partner","KZ","Kazakhstan","FDI inflow","MY","Malaysia","in % of total","-","National Bank of Kazakhstan, wiiw",.,-0.0195564,0.0163857,-0.0242427,0.0016099,0.0020039,-0.0005286,.,0.0024311,0.0053059,0.0053289,-0.0019672,-0.0621947,-1.3040742,-10.5589195,0.0753253,0.3491282,0.0883476,0.0977728
"FDI by partner","KZ","Kazakhstan","FDI inflow","MT","Malta","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,0.2106473,.,.,0.0316069,0.17582,0.479523,2.8861556,-0.3788714,-1.6835541,6.1328573,10.1032767,-0.9387651,-14.8269232,5.6673793
"FDI by partner","KZ","Kazakhstan","FDI inflow","MT","Malta","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,0.0021645,.,.,0.0003165,0.0016117,0.0061719,0.045174,-0.0103535,-0.0218808,0.1469852,0.3057911,-0.0320019,-0.459576,0.1987781
"FDI by partner","KZ","Kazakhstan","FDI inflow","MH","Marshall Islands","EUR m","-","National Bank of Kazakhstan",.,-0.0692111,11.6717833,-0.2565299,2.2815121,-8.7235167,0.1118728,-26.1061095,.,1.6905174,1.5770813,9.7783102,-3.3457956,-0.0695833,0.0026553,0.0186486,-0.029476,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","MH","Marshall Islands","in % of total","-","National Bank of Kazakhstan, wiiw",.,-0.0020687,0.7371032,-0.0051289,0.028087,-0.0896398,0.001178,-0.3001286,.,0.015497,0.0202984,0.1530498,-0.091431,-0.0009044,6.36E-5,0.0005644,-0.0010048,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","MU","Mauritius","EUR m","-","National Bank of Kazakhstan",.,1.1918791,-0.1172801,1.5112954,0.7780373,7.2401519,10.6522997,-3.3179542,3.3108205,3.7513459,0.1332427,-1.225205,-0.3247469,0.3199024,-16.9868375,-5.9989,.,.,-42.633438
"FDI by partner","KZ","Kazakhstan","FDI inflow","MU","Mauritius","in % of total","-","National Bank of Kazakhstan, wiiw",.,0.0356249,-0.0074065,0.0302158,0.0095782,0.0743973,0.1121692,-0.0381448,0.0331511,0.0343885,0.001715,-0.0191769,-0.0088744,0.0041577,-0.4071207,-0.1815659,.,.,-1.4953284
"FDI by partner","KZ","Kazakhstan","FDI inflow","MD","Moldova","EUR m","-","National Bank of Kazakhstan",4.1606618,1.8968663,-1.2940979,0.0199169,0.0270304,14.5360235,10.637957,-47.8317062,-0.0143668,1.0253575,-0.9229125,5.6669496,0.8759147,0.1066341,0.1902965,0.100024,0.1420206,0.7638138,1.5286621
"FDI by partner","KZ","Kazakhstan","FDI inflow","MD","Moldova","in % of total","-","National Bank of Kazakhstan, wiiw",0.2244233,0.0566967,-0.0817256,0.0003982,0.0003328,0.1493671,0.1120181,-0.5498966,-0.0001439,0.0093994,-0.0118787,0.0886989,0.0239362,0.0013859,0.0045608,0.0030274,0.0048414,0.0236752,0.0536164
"FDI by partner","KZ","Kazakhstan","FDI inflow","NL","Netherlands","EUR m","-","National Bank of Kazakhstan",450.5194694,1269.728664,1200.8770939,2221.5453493,2046.7442602,2566.174177,4234.830562,3331.7441263,4788.2998836,4604.2068847,1926.4736277,2039.2326231,3558.1458725,4034.3666925,-415.3207428,819.947994,-1075.6426349,929.0139934,351.8467695
"FDI by partner","KZ","Kazakhstan","FDI inflow","NL","Netherlands","in % of total","-","National Bank of Kazakhstan, wiiw",24.3007148,37.9517696,75.8384866,44.4160851,25.1968134,26.3691161,44.5929394,38.3033571,47.9450553,42.206712,24.7954082,31.9179939,97.2338732,52.4338047,-9.9539235,24.8169805,-36.6679573,28.7957624,12.3406998
"FDI by partner","KZ","Kazakhstan","FDI inflow","AN","Netherlands Antilles","EUR m","This time serie is no longer being updated.","National Bank of Kazakhstan",.,1.6047312,-5.3298199,.,-0.1103133,0.8629745,44.4515145,0.5226192,.,.,.,.,.,.,.,.,.,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","AN","Netherlands Antilles","in % of total","This time serie is no longer being updated.","National Bank of Kazakhstan, wiiw",.,0.0479649,-0.3365919,.,-0.001358,0.0088676,0.4680763,0.0060083,.,.,.,.,.,.,.,.,.,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","MK","North Macedonia","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.5130757,-0.0107185,0.0008759,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","MK","North Macedonia","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0457956,-0.0003654,2.71E-5,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","NO","Norway","EUR m","-","National Bank of Kazakhstan",.,.,-0.0200822,0.0470039,0.4565946,0.6883411,1.456498,3.3217195,4.6023925,4.9011778,-5.9033275,29.2664457,-3.3629351,1.2651507,0.2708406,0.593363,-0.942338,-0.7962234,0.5301278
"FDI by partner","KZ","Kazakhstan","FDI inflow","NO","Norway","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,-0.0012682,0.0009398,0.005621,0.0070732,0.015337,0.0381881,0.0460836,0.044929,-0.075981,0.4580773,-0.0918993,0.0164429,0.0064912,0.017959,-0.0321237,-0.0246798,0.0185937
"FDI by partner","KZ","Kazakhstan","FDI inflow","OM","Oman","EUR m","-","National Bank of Kazakhstan",.,0.6301427,3.3448937,4.9027476,8.8937329,14.8723797,15.5366954,11.8673719,14.8322461,33.9044809,50.68566,29.82712,0.168688,-0.194291,.,.,.,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","OM","Oman","in % of total","-","National Bank of Kazakhstan, wiiw",.,0.0188348,0.2112387,0.0980222,0.1094879,0.1528234,0.163602,0.1364331,0.1485147,0.310802,0.652369,0.466853,0.0046098,-0.0025252,.,.,.,.,.
"FDI by partner","KZ","Kazakhstan","FDI inflow","PK","Pakistan","EUR m","-","National Bank of Kazakhstan",0.1267252,.,0.8105182,0.1123314,0.1081216,0.0958106,5.2508508,0.253026,10.0667908,0.9320017,1.9865954,0.653242,0.8145736,-0.8160222,-1.2630376,-0.588277,-0.929833,0.1235066,-0.0346655
"FDI by partner","KZ","Kazakhstan","FDI inflow","PK","Pakistan","in % of total","-","National Bank of Kazakhstan, wiiw",0.0068355,.,0.0511863,0.0022459,0.0013311,0.0009845,0.0552917,0.0029089,0.1007984,0.0085436,0.0255692,0.0102245,0.0222599,-0.0106057,-0.030271,-0.0178051,-0.0316974,0.0038282,-0.0012159
"FDI by partner","KZ","Kazakhstan","FDI inflow","PA","Panama","EUR m","-","National Bank of Kazakhstan",0.1196356,-0.4587246,15.664931,12.4042541,127.9947997,3.4226791,-24.5295483,39.1753549,2.9976251,2.4396974,-97.0428154,-35.1207885,-17.5119792,-2.3676391,31.8450098,93.4461968,158.9424955,29.7878641,43.3352021
"FDI by partner","KZ","Kazakhstan","FDI inflow","PA","Panama","in % of total","-","National Bank of Kazakhstan, wiiw",0.0064531,-0.0137111,0.9892808,0.2480023,1.575703,0.0351703,-0.2582971,0.450379,0.0300151,0.0223647,-1.2490263,-0.5497093,-0.4785519,-0.0307717,0.7632241,2.8282921,5.4182462,0.9233061,1.5199421
"FDI by partner","KZ","Kazakhstan","FDI inflow","PL","Poland","EUR m","-","National Bank of Kazakhstan",0.3208008,0.8482381,1.0764067,1.5718429,6.6816232,6.0482959,-13.4154147,-0.4721646,3.435093,-0.6488226,0.5593181,17.9265258,-14.6929953,-1.2488845,-0.1221438,-1.5478298,-28.3773249,6.8497985,5.7189548
"FDI by partner","KZ","Kazakhstan","FDI inflow","PL","Poland","in % of total","-","National Bank of Kazakhstan, wiiw",0.0173038,0.0253536,0.0679779,0.0314264,0.0822553,0.0621502,-0.1412649,-0.0054282,0.0343954,-0.0059477,0.0071989,0.2805853,-0.4015172,-0.0162315,-0.0029274,-0.0468474,-0.9673645,0.2123167,0.200587
"FDI by partner","KZ","Kazakhstan","FDI inflow","PT","Portugal","EUR m","-","National Bank of Kazakhstan",.,0.6301427,3.7063736,4.8788473,8.8718164,14.8519945,13.8872885,11.1120591,13.8086143,32.0599266,48.9203829,29.994946,1.1167687,0.8169259,1.0019331,0.6196405,0.5770145,-2.2020963,-2.9186623
"FDI by partner","KZ","Kazakhstan","FDI inflow","PT","Portugal","in % of total","-","National Bank of Kazakhstan, wiiw",.,0.0188348,0.2340671,0.0975444,0.1092181,0.1526139,0.1462337,0.1277497,0.1382651,0.293893,0.6296483,0.4694798,0.0305181,0.0106174,0.0240132,0.0187544,0.01967,-0.0682563,-0.1023694
"FDI by partner","KZ","Kazakhstan","FDI inflow","RO","Romania","EUR m","-","National Bank of Kazakhstan",22.5818921,12.0958424,18.6194264,43.1201191,60.3055583,96.8617493,75.9408426,35.3905075,7.7106417,-25.8167596,-19.2464135,-122.5363082,-58.9767521,-1.1675533,103.5248262,-0.0483167,11.414348,-8.235525,-77.9922031
"FDI by partner","KZ","Kazakhstan","FDI inflow","RO","Romania","in % of total","-","National Bank of Kazakhstan, wiiw",1.218052,0.3615407,1.1758648,0.8621147,0.7424024,0.9953178,0.7996602,0.4068666,0.0772063,-0.2366619,-0.2477183,-1.9179338,-1.6116647,-0.0151744,2.4811624,-0.0014624,0.3891077,-0.2552687,-2.7355043
"FDI by partner","KZ","Kazakhstan","FDI inflow","RU","Russia","EUR m","-","National Bank of Kazakhstan",88.0536048,-0.0861115,-44.9054392,1.0699366,95.2083827,97.5331027,94.1861508,299.9164024,361.4311223,-235.4774767,356.7387901,406.8771978,219.1654012,265.244261,197.9959655,416.9248208,339.2416746,246.2958042,723.8620705
"FDI by partner","KZ","Kazakhstan","FDI inflow","RU","Russia","in % of total","-","National Bank of Kazakhstan, wiiw",4.7495517,-0.0025738,-2.8358943,0.0213916,1.1720799,1.0022163,0.991784,3.4479854,3.6189954,-2.1586193,4.5915417,6.3684269,5.9891588,3.4473232,4.7453365,12.6188676,11.5645279,7.6341966,25.3887921
"FDI by partner","KZ","Kazakhstan","FDI inflow","KN","Saint Kitts and Nevis","EUR m","-","National Bank of Kazakhstan",.,.,0.1204933,0.0685142,2.6767404,0.594569,.,2.332207,4.0442438,16.2050053,9.4097927,0.8233257,180.7992554,-94.9784759,4.960985,1.7131238,-0.6993845,-4.1151347,-5.4610776
"FDI by partner","KZ","Kazakhstan","FDI inflow","KN","Saint Kitts and Nevis","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,0.0076095,0.0013698,0.0329525,0.0061096,.,0.0268122,0.0404949,0.1485511,0.1211123,0.0128867,4.9407226,-1.234415,0.1188991,0.0518503,-0.0238416,-0.1275529,-0.1915422
"FDI by partner","KZ","Kazakhstan","FDI inflow","VC","Saint Vincent and Grenadines","EUR m","-","National Bank of Kazakhstan",.,.,-0.0008033,.,.,.,.,.,.,-0.9670102,1.4438386,-0.9610484,3.3250479,0.0551244,-0.0362891,-0.8332512,0.4546446,-0.3311028,-0.2274392
"FDI by partner","KZ","Kazakhstan","FDI inflow","VC","Saint Vincent and Grenadines","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,-5.07E-5,.,.,.,.,.,.,-0.0088646,0.0185835,-0.0150423,0.090864,0.0007164,-0.0008697,-0.0252196,0.0154985,-0.0102629,-0.0079772
"FDI by partner","KZ","Kazakhstan","FDI inflow","SA","Saudi Arabia","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,5.5344637,4.7849224,6.4660726,-2.8005014,7.4906006,-2.6302934,-7.4681402,5.7364873,3.7041308
"FDI by partner","KZ","Kazakhstan","FDI inflow","SA","Saudi Arabia","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.0712334,0.0748934,0.1766991,-0.0363975,0.179526,-0.0796099,-0.254584,0.1778084,0.129919
"FDI by partner","KZ","Kazakhstan","FDI inflow","RS","Serbia","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,0.4416798,0.1900404,-0.0045183,.,4.0749793,-2.6979758,-6.8981753,0.0658515,1.4748042,1.1108004,-0.0949381,1.572052,1.1807581,2.7647815
"FDI by partner","KZ","Kazakhstan","FDI inflow","RS","Serbia","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,0.0045385,0.0020011,-5.19E-5,.,0.0373553,-0.0347253,-0.10797,0.0017995,0.0191677,0.0266224,-0.0028734,0.0535902,0.0365988,0.0969722
"FDI by partner","KZ","Kazakhstan","FDI inflow","SC","Seychelles","EUR m","-","National Bank of Kazakhstan",0.0008862,0.9158396,6.6793447,1.1320774,21.1808772,-4.0580185,16.7271368,-11.6580229,-4.9629983,-1.0471405,-2.095749,4.6705298,-0.4429188,1.2434624,1.8507439,0.911236,-0.6234615,-9.3575956,0.8361984
"FDI by partner","KZ","Kazakhstan","FDI inflow","SC","Seychelles","in % of total","-","National Bank of Kazakhstan, wiiw",4.78E-5,0.0273741,0.4218178,0.022634,0.260751,-0.0416988,0.1761374,-0.1340263,-0.0496943,-0.0095991,-0.0269741,0.073103,-0.0121037,0.016161,0.0443565,0.02758,-0.0212534,-0.2900485,0.0293289
"FDI by partner","KZ","Kazakhstan","FDI inflow","SG","Singapore","EUR m","-","National Bank of Kazakhstan",.,.,2.6855544,6.6470709,-0.5240684,15.6782823,-278.080822,37.6920502,9.5348255,51.4223718,51.7260067,56.3376069,2.4906287,146.9743612,61.0621579,-4.8418421,123.2381578,21.6373046,-62.7926689
"FDI by partner","KZ","Kazakhstan","FDI inflow","SG","Singapore","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,0.1695997,0.1328971,-0.0064516,0.1611046,-2.9282025,0.4333262,0.0954718,0.4713883,0.6657592,0.8817941,0.0680617,1.9101945,1.4634666,-0.1465458,4.2011086,0.6706709,-2.2023947
"FDI by partner","KZ","Kazakhstan","FDI inflow","SK","Slovakia","EUR m","-","National Bank of Kazakhstan",-1.7537699,2.8795026,1.1318336,-6.2650645,0.0891273,0.3934348,-0.6690855,-0.0022592,0.2140648,-0.2932927,-0.4893092,0.1068668,0.9625139,1.4829373,2.0976868,1.4825599,-0.6618696,1.5521538,0.6383517
"FDI by partner","KZ","Kazakhstan","FDI inflow","SK","Slovakia","in % of total","-","National Bank of Kazakhstan, wiiw",-0.0945972,0.0860674,0.0714782,-0.1252595,0.0010972,0.0040428,-0.0070455,-2.6E-5,0.0021434,-0.0026886,-0.0062978,0.0016727,0.0263027,0.0192734,0.0502749,0.0448719,-0.0225627,0.0481106,0.0223896
"FDI by partner","KZ","Kazakhstan","FDI inflow","SI","Slovenia","EUR m","-","National Bank of Kazakhstan",.,.,.,0.0087634,.,.,.,.,.,0.5562448,0.2009932,0.3213529,2.5799341,2.8935803,0.3841334,1.3799928,1.3290985,7.3753585,-3.2145869
"FDI by partner","KZ","Kazakhstan","FDI inflow","SI","Slovenia","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,0.0001752,.,.,.,.,.,0.0050991,0.002587,0.0050298,0.0705022,0.0376072,0.0092065,0.0417676,0.0453081,0.228607,-0.1127487
"FDI by partner","KZ","Kazakhstan","FDI inflow","ES","Spain","EUR m","-","National Bank of Kazakhstan",-0.457274,6.7673945,-12.773092,5.1090868,3.0054885,8.0908953,-0.0939445,6.1027465,7.1747615,0.684609,-3.1135122,0.8067689,0.8443421,7.5692158,3.9183373,3.8627932,9.6975957,2.587507,3.921424
"FDI by partner","KZ","Kazakhstan","FDI inflow","ES","Spain","in % of total","-","National Bank of Kazakhstan, wiiw",-0.024665,0.2022752,-0.8066537,0.1021476,0.0369996,0.0831392,-0.0009892,0.0701602,0.0718406,0.0062758,-0.0400736,0.0126275,0.0230734,0.0983755,0.0939101,0.1169133,0.3305847,0.0802025,0.1375403
"FDI by partner","KZ","Kazakhstan","FDI inflow","SE","Sweden","EUR m","-","National Bank of Kazakhstan",5.7912513,-0.3943422,13.299246,6.0340283,3.3700337,-0.0978491,20.4325651,44.4196203,31.3439669,3.6214258,-74.4638297,51.1937025,149.7363077,-149.5724385,29.977449,-55.3463582,-186.6749218,104.6100875,18.7455567
"FDI by partner","KZ","Kazakhstan","FDI inflow","SE","Sweden","in % of total","-","National Bank of Kazakhstan, wiiw",0.3123762,-0.0117868,0.8398817,0.1206403,0.0414874,-0.0010055,0.2151557,0.5106696,0.3138459,0.0331976,-0.9584149,0.8012819,4.0918618,-1.9439611,0.7184646,-1.6751422,-6.3636266,3.2424993,0.657483
"FDI by partner","KZ","Kazakhstan","FDI inflow","CH","Switzerland","EUR m","-","National Bank of Kazakhstan",35.533558,-12.8346304,-43.5237829,124.693426,299.3901979,36.6553502,273.0750802,303.5867857,153.7624362,1335.9008091,91.2795056,268.5840604,-402.9315808,-108.9321841,-119.4362674,90.1318406,341.6068983,-128.3347412,410.273282
"FDI by partner","KZ","Kazakhstan","FDI inflow","CH","Switzerland","in % of total","-","National Bank of Kazakhstan, wiiw",1.916656,-0.3836229,-2.7486392,2.4930366,3.6856969,0.3766577,2.8754918,3.4901819,1.5396171,12.2461875,1.1748474,4.2038678,-11.010959,-1.4157684,-2.8625093,2.7279781,11.6451568,-3.9778698,14.3899556
"FDI by partner","KZ","Kazakhstan","FDI inflow","TR","Turkey","EUR m","-","National Bank of Kazakhstan",25.6259545,11.4013173,-46.4654257,-5.739258,177.7767648,55.456642,35.9965116,53.756732,72.7726831,96.8830598,106.0521273,-91.899409,-237.7192769,171.1459686,70.5964542,79.3156807,59.0180474,166.3187133,366.6776662
"FDI by partner","KZ","Kazakhstan","FDI inflow","TR","Turkey","in % of total","-","National Bank of Kazakhstan, wiiw",1.3822466,0.3407816,-2.9344115,-0.1147469,2.1885528,0.5698532,0.3790447,0.6180136,0.72867,0.8881259,1.3649841,-1.4384062,-6.4961828,2.2243477,1.6919735,2.4006104,2.0118868,5.1552228,12.8608797
