"Tree Level 1","Country-Code","Country","Direction","Classification","Digit","Industry/Product","Unit","Footnotes","Sources",_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","G  Wholesale, retail trade, repair of motor vehicles etc.","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,-322.7263962,309.4794706,147.7798464,821.650837,62.3349443,-393.1595258,291.4122149,323.6790091,326.7443754,615.2212259,326.825659,636.2661878
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","G  Wholesale, retail trade, repair of motor vehicles etc.","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,-3.7102196,3.0988056,1.3546961,10.5753682,0.9756643,-10.7439169,3.7874225,7.7575612,9.8894184,20.9724912,10.1303038,22.3164476
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","H  Transportation and storage","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,-17.3827365,68.7032974,153.413867,165.7260012,487.3953701,-29.3759685,-359.408007,-840.2704699,-1264.9534733,-1299.5775828,-399.9263082,-1028.3874064
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","H  Transportation and storage","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,-0.1998404,0.6879234,1.4063431,2.1330392,7.6286944,-0.8027606,-4.6711493,-20.1386233,-38.2857521,-44.301754,-12.3961351,-36.0697364
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","I  Accommodation and food service activities","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,-1.5836717,4.5197836,1.7169682,-70.639842,80.3595956,-62.1510182,-2.9287786,52.9649895,10.8933734,61.8788158,64.5034662,100.2549847
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","I  Accommodation and food service activities","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,-0.0182067,0.0452564,0.0157394,-0.9091968,1.2577854,-1.6984082,-0.0380647,1.2694031,0.3297046,2.1094086,1.9993525,3.5163508
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","J  Information and communication","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,260.9293108,149.7857162,1260.1457154,454.2364899,62.7585995,-338.8130743,119.3307576,83.1037214,-359.2555736,-117.2491229,117.9456816,210.4101531
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","J  Information and communication","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,2.9997702,1.4997984,11.5517406,5.8464227,0.9822953,-9.258785,1.5509164,1.9917331,-10.8734196,-3.9969463,3.65585,7.3799414
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","K  Financial and insurance activities","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,228.2241925,206.0495519,1871.7535802,-14.986096,171.7931407,214.9973733,46.9941574,380.4523557,-318.6381381,363.1017528,743.0961934,1189.7955953
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","K  Financial and insurance activities","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,2.6237763,2.0631659,17.1583425,-0.1928842,2.6888999,5.8752587,0.6107731,9.1182386,-9.6440707,12.3779024,23.0330453,41.7309792
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","L  Real estate activities","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,57.4459416,110.5500864,24.8621969,71.9407933,48.5393876,3.9009686,158.9957236,111.8416056,-102.2466094,-15.4085927,-184.1009128,-82.1630916
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","L  Real estate activities","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.6604265,1.1069336,0.2279115,0.9259412,0.7597367,0.1066022,2.0664336,2.6804893,-3.0946501,-0.5252689,-5.7064007,-2.8817944
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","M  Professional, scientific and technical activities","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,6947.9263911,7187.9422389,5552.5256648,4206.3336148,3691.1518376,5336.5676685,4221.6196851,-27.4555078,232.235406,336.4492816,-34.8197944,269.9966393
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","M  Professional, scientific and technical activities","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,79.8767401,71.9725783,50.8999358,54.1392093,57.7737726,145.8330161,54.867492,-0.6580216,7.0289599,11.469337,-1.079276,9.4698822
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","N  Administrative and support service activities","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,57.9128349,62.2131122,16.9082855,-81.0728676,14.0820763,2.0439393,127.3273033,149.7910344,-16.0535633,9.2269091,-24.6870679,44.8832683
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","N  Administrative and support service activities","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.6657941,0.6229374,0.154998,-1.043479,0.2204121,0.055855,1.6548458,3.5900169,-0.4858857,0.3145393,-0.7652015,1.5742391
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","P  Education","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,11.3274324,-8.0647824,-93.8972312,5.3797591,3.6501853,15.2295404,15.1233762,-7.9459933,-6.6092247,9.1805068,8.4204958,-6.0172383
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","P  Education","in % of total","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.1302257,-0.0807523,-0.8607548,0.0692422,0.0571326,0.4161795,0.1965553,-0.1904403,-0.2000383,0.3129575,0.2610021,-0.2110491
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 1-letter","S  Other service activities","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,34.1916461,68.9942244,67.430871,83.9048026,18.290347,20.580477,-12.8599774,15.7505211,1.621873,-90.4220369,-332.58551,-48.2115241
