Tree Level 1,Country-Code,Country,Direction,Classification,Digit,Industry/Product,Unit,Footnotes,Sources,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,"CG  Rubber, plastics, other non-metall. mineral products",EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,.,.,.,.,.,3.1101114,22.9767641,-0.0280067,-0.0024691,0.0526808,0.229127,-2.6033728,2.9393283,0.7642516,0.2347439,-0.1227183,5.9916535
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,"CG  Rubber, plastics, other non-metall. mineral products",in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.1809896,4.1895227,-0.0109734,-0.0878491,0.105002,0.111013,14.7944897,-3.0603839,-1.1036307,0.5017408,-0.2364876,3.6837161
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,"CH  Basic metals, fabricated met.prod., ex mach. & equip.",EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,.,.,.,.,.,1712.864868,468.1661148,267.8976009,1.9188449,6.0617095,-0.0308419,39.7328522,15.143316,1.9889019,19.2794313,25.8322456,26.9188681
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,"CH  Basic metals, fabricated met.prod., ex mach. & equip.",in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,99.6783381,85.3641765,104.9657691,68.2713607,12.0820469,-0.014943,-225.7945049,-15.7669902,-2.8721081,41.2077882,49.7807299,16.5499334
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,"CI  Computer, electronic, optical products",EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,.,.,.,.,.,0.0052714,.,.,.,.,-6.3930045,-4.6819612,.,.,0.0915363,0.0449529,0.0176709
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,"CI  Computer, electronic, optical products",in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.0003068,.,.,.,.,-3.0974374,26.606726,.,.,0.1956494,0.0866277,0.0108642
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,CJ  Electrical equipment,EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0022577,.,.,.,.,.,0.1454049,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,CJ  Electrical equipment,in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0045,.,.,.,.,.,0.2802065,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,CK  Machinery and equipment n.e.c.,EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1652084,-0.0171683,0.0042275
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 2,NACE 2-letter - Manufacturing,CK  Machinery and equipment n.e.c.,in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.3531158,-0.0330846,0.0025991
